IDCLI;IDVENDEDOR;PCOD;QTDVENDA;MVALOR3;VLVENDA;TENDENCIA;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
249;25;1201;2;25.56;38.34;"2";4;0;0;76.68;76.68;0;38.34;38.34;"2";"-";0;0;0;2;0;0;0;0;0;0;0;38.34;0;0;0;0
251;13;40;60;990.60;1800;"1";104;0;528.80;3600;3071.20;0;2011.87;2011.87;"1";"+";0;0;16;60;0;4;0;0;0;0;528.80;1800;0;152.39;0;0
251;13;184;1;5.43;70.65;"2";2;0;0;141.30;141.30;0;90.53;90.53;"2";"-";2;0;0;1;0;3;0;2;130.30;0;0;70.65;0;204.21;0;140.40
251;13;3305;1;5.43;70.65;"1";1;0;67.20;141.30;74.10;0;71.23;71.23;"1";"+";0;0;1;1;0;0;0;0;0;0;67.20;70.65;0;0;0;0
254;3;23;3;125.94;270.69;"2";6;0;0;541.38;541.38;0;270.69;270.69;"2";"-";0;0;0;3;0;0;0;0;0;0;0;270.69;0;0;0;0
254;3;176;6;173.82;330.61;"2";12;0;0;661.22;661.22;0;330.61;330.61;"2";"-";0;0;0;6;0;0;0;0;0;0;0;330.61;0;0;0;0
254;3;373;6;157.20;228.24;"2";12;0;0;456.48;456.48;0;228.24;228.24;"2";"-";0;0;0;6;0;0;0;0;0;0;0;228.24;0;0;0;0
254;3;1042;6;55.08;86.23;"2";12;0;0;172.46;172.46;0;86.23;86.23;"2";"-";0;0;0;6;0;0;0;0;0;0;0;86.23;0;0;0;0
254;3;1083;12;208.08;313.27;"2";24;0;0;626.54;626.54;0;313.27;313.27;"2";"-";0;0;0;12;0;0;0;0;0;0;0;313.27;0;0;0;0
277;65;71;3;8.01;18.96;"1";5;0;6.52;37.92;31.40;0;21.03;21.03;"1";"+";0;0;1;3;0;0;0;0;0;0;6.52;18.96;0;0;0;0
277;65;175;4;91.56;150.83;"1";6;0;75.42;301.66;226.24;0;163.40;163.40;"1";"+";0;0;2;4;0;2;2;0;0;0;75.42;150.83;0;99.80;98.44;0
277;65;219;1;72.07;92.51;"2";2;0;0;185.02;185.02;0;92.51;92.51;"2";"-";0;0;0;1;0;0;0;0;0;0;0;92.51;0;0;0;0
277;65;273;1;38.90;66.04;"2";2;0;0;132.08;132.08;0;66.04;66.04;"2";"-";0;0;0;1;0;0;1;0;0;0;0;66.04;0;0;66.32;0
277;65;371;1;26.20;44.33;"2";2;0;0;88.66;88.66;0;44.33;44.33;"2";"-";0;0;0;1;0;0;0;0;0;0;0;44.33;0;0;0;0
277;65;373;1;26.20;44.33;"2";2;0;0;88.66;88.66;0;44.33;44.33;"2";"-";0;0;0;1;1;3;3;1;0;0;0;44.33;42.90;134.70;135.57;45.20
277;65;413;1;31.47;39.60;"2";2;0;0;79.20;79.20;0;39.60;39.60;"2";"-";0;0;0;1;1;0;1;0;0;0;0;39.60;39.90;0;40.16;0
277;65;1146;1;14.95;21.19;"2";2;0;0;42.38;42.38;0;21.19;21.19;"2";"-";0;0;0;1;0;0;0;0;0;0;0;21.19;0;0;0;0
277;65;1158;1;36.80;52.16;"2";2;0;0;104.32;104.32;0;52.16;52.16;"2";"-";0;0;0;1;0;0;0;0;0;0;0;52.16;0;0;0;0
277;65;1201;1;12.78;18.12;"2";2;0;0;36.24;36.24;0;18.12;18.12;"2";"-";0;0;0;1;0;0;0;0;0;0;0;18.12;0;0;0;0
277;65;3303;2;8.92;12.64;"1";3;0;6.52;25.28;18.76;0;13.66;13.66;"1";"+";0;0;1;2;0;0;0;0;0;0;6.52;12.64;0;0;0;0
277;65;3304;1;2.67;6.33;"2";2;0;0;12.66;12.66;0;6.33;6.33;"2";"-";0;0;0;1;0;0;0;0;0;0;0;6.33;0;0;0;0
287;54;163;3;155.88;204.89;"1";2;0;282.12;409.78;127.66;0;204.93;204.93;"1";"+";0;2;2;3;0;0;0;0;0;140.90;141.22;204.89;0;0;0;0
287;54;173;2;20.36;52.10;"1";2;0;52.20;104.20;52;0;52.13;52.13;"1";"-";0;2;0;2;0;0;0;0;0;52.20;0;52.10;0;0;0;0
287;54;184;1;5.43;70.31;"2";2;0;0;140.62;140.62;0;70.31;70.31;"2";"-";0;0;0;1;0;0;0;0;0;0;0;70.31;0;0;0;0
287;54;961;2;93.60;131.81;"2";4;0;0;263.62;263.62;0;131.81;131.81;"2";"-";0;0;0;2;0;0;0;0;0;0;0;131.81;0;0;0;0
287;54;1119;3;24.63;53.25;"2";6;0;0;106.50;106.50;0;53.25;53.25;"2";"-";0;0;0;3;0;0;0;0;0;0;0;53.25;0;0;0;0
306;13;1067;3;89.97;195.53;"2";6;0;0;391.06;391.06;0;195.53;195.53;"2";"-";0;0;0;3;0;0;0;0;0;0;0;195.53;0;0;0;0
306;13;1193;3;45.36;68.33;"2";6;0;0;136.66;136.66;0;68.33;68.33;"2";"-";0;0;0;3;0;0;0;0;0;0;0;68.33;0;0;0;0
