FLOJA;IDPEDIDO;SI_CAIXA;SI_NUMFECH;FVALDEV;FDESCONTO;FSUBSIDIO;FCOMISSAO;FVALLOCA;FGDEV;FCODOP;FG_FAT;FTV;FTIPOVEN;FTIPODIG;COD_MOD;FVALES;FVALCH;FVALCT;FVALCV;FVALCA;FCARTAO
1;"L1P20496";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;877.88;0;0;1
1;"L1P20503";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;229.80;1
1;"L1P20507";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;4999.50;1
1;"L1V20502";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;603;1
1;"L1V20500";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;369.04;1
1;"L1P20484";1;1;0;0;0;0;0;"V";"5.102";"S";"";"3";"M";"55";0;0;721.40;0;0;1
1;"L1P20181";1;1;0;0;0;0;0;"V";"5.102";"S";"";"3";"M";"55";0;0;249.50;0;0;1
1;"L1V20506";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1942.80;1
1;"L1V20505";1;1;0;0;0;0;0;"V";"5.102";"C";"S";"5";"V";"55";0;0;0;0;907.01;1
1;"L1P20511";1;1;0;92.96;0;0;0;"V";"6.102";"S";"";"5";"M";"55";0;0;0;0;1556.30;1
1;"L1P20514";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;149.80;0;0;1
1;"L1P20519";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;927.40;0;0;1
1;"L1P20522";1;1;0;0;0;0;0;"D";"6.202";"S";"";"1";"M";"55";146.88;0;0;0;0;0
1;"L1P20516";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;572.20;1
1;"L1P20518";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;250.08;1
1;"L1V20515";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;379.42;1
1;"L1P20517";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;167.64;0;0;1
1;"L1P20512";1;1;0;0;0;0;0;"V";"5.102";"S";"";"3";"M";"55";0;0;415.40;0;0;1
1;"L1V20523";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;580.02;1
1;"L1V20526";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;828;1
1;"L1V20524";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1070.10;1
1;"L1P20525";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;96.98;0;0;1
